,Median absolute error_TR,Median absolute error_TE,Median absolute error (adjusted)_TR,Median absolute error (adjusted)_TE,Mean absolute error_TR,Mean absolute error_TE,Mean absolute error (adjusted)_TR,Mean absolute error (adjusted)_TE,R^2 score_TR,R^2 score_TE,R^2 score (adjusted)_TR,R^2 score (adjusted)_TE,features
 :RandomForestRegressor: max_depth: 8__permutation_small,6.317903806057288,6.438716035030479,0.0,0.0,8.220216406056409,8.416710882945296,3.3202293114788555,3.474951312065913,0.9376305434579024,0.93185212660311,0.9666502560452168,0.9602933126795916,"['DEP_DELAY', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'CRS_ELAPSED_TIME', 'OP_CARRIER_VX', 'DEST_SFO', 'ceiling_height_arr', 'OP_CARRIER_UA']"
 :RandomForestRegressor: max_depth: 8__permutation_big,6.322308312954804,6.457352575124913,0.0,0.0,8.216259796702694,8.413753397652373,3.318046625948068,3.472606104340087,0.9377783192753063,0.9322510206779274,0.9668053781358192,0.9608030250921509,"['DEP_DELAY', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'CRS_ELAPSED_TIME', 'OP_CARRIER_VX', 'DISTANCE', 'DEST_SFO', 'ceiling_height_arr', 'OP_CARRIER_UA', 'vis_distance_arr']"
 :RandomForestRegressor: max_depth: 8__select_from_model,6.5338160995386785,6.612279148261919,0.0,0.0,8.49663648320565,8.655256909448445,3.432836629299995,3.552068374986503,0.9337648073457785,0.9288111921584948,0.9648387693006536,0.9591246989817697,"['TAXI_OUT', 'DEP_DELAY']"
 :MLPRegressor: __all,6.311778230012278,6.3503832627833345,0.0,0.0,8.367734986473705,8.308785468172804,3.439489736272695,3.3730888113536337,0.8458681807474642,0.9350926518400117,0.9607133749504279,0.9635572902771846,__all__
 :MLPRegressor: __permutation_small,6.5532414718002165,6.641486371890071,0.0,0.0,8.673261380890311,8.570973223783119,3.742129864004616,3.5714831180503253,0.7305876089607453,0.9166804895079753,0.7219651490531979,0.9440137221801512,"['DEP_DELAY', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'dew_point_c_dep', 'CRS_ELAPSED_TIME', 'temp_c_dep', 'temp_c_arr', 'wind_speed_dep', 'OP_CARRIER_UA', 'pressure_hpa_arr', 'ORIGIN_LAX', 'DISTANCE', 'ORIGIN_SFO', 'DEST_LAX', 'ORIGIN_ORD', 'ORIGIN_DEN', 'OP_CARRIER_VX', 'OP_CARRIER_WN', 'ORIGIN_LAS', 'OP_CARRIER_YV', 'OP_CARRIER_9E']"
 :MLPRegressor: __permutation_big,6.240244365927468,6.303618358067358,0.0,0.0,8.321856177626088,8.286921153204771,3.314931482372094,3.28591073614228,0.8952766293620746,0.933292387845398,0.965478508472666,0.9639578726899733,"['DEP_DELAY', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'dew_point_c_dep', 'CRS_ELAPSED_TIME', 'temp_c_dep', 'temp_c_arr', 'wind_speed_dep', 'OP_CARRIER_UA', 'dew_point_c_arr', 'pressure_hpa_arr', 'ORIGIN_LAX', 'DISTANCE', 'ORIGIN_SFO', 'DEST_LAX', 'ORIGIN_ORD', 'OP_CARRIER_AA', 'ORIGIN_DEN', 'OP_CARRIER_VX', 'DEST_DFW', 'OP_CARRIER_WN', 'ORIGIN_LAS', 'WHEELS_OFF', 'DEST_ORD', 'DEST_PHX', 'DEST_CLT', 'OP_CARRIER_OO', 'OP_CARRIER_F9', 'DATE_NORM', 'DEST_LAS', 'OP_CARRIER_YV', 'ORIGIN_DFW', 'OP_CARRIER_9E']"
 :GradientBoostingRegressor: __all,5.8830163914263665,5.903477963344518,0.0,0.0,7.765554956470519,7.868539348455565,3.2060470914592796,3.26430664681514,0.942415130996878,0.9382637692277168,0.9673700068901875,0.962721888865799,__all__
 :GradientBoostingRegressor: __permutation_small,5.898801765372978,5.916815344850672,0.0,0.0,7.791187659794499,7.887775753968385,3.2111934283137176,3.2637611421265045,0.9420876590627866,0.9380815078866436,0.9673422363469564,0.9628133091362772,"['DEP_DELAY', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'CRS_ELAPSED_TIME', 'OP_CARRIER_VX', 'PREV_AVG_DELAY', 'DATE_NORM', 'DEST_SFO', 'ORIGIN_DEN', 'OP_CARRIER_UA', 'ORIGIN_LAX', 'DISTANCE', 'ORIGIN_SFO', 'liquid_precip_rate_arr', 'ceiling_height_arr', 'OP_CARRIER_WN']"
 :GradientBoostingRegressor: __permutation_big,5.881490068067234,5.949069642567978,0.0,0.0,7.778259544341228,7.875387978457688,3.208622316359139,3.26097488764234,0.942229971705824,0.9382114224160485,0.9673130288675399,0.9628413549023462,"['DEP_DELAY', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'CRS_ELAPSED_TIME', 'OP_CARRIER_VX', 'PREV_AVG_DELAY', 'DATE_NORM', 'DEST_SFO', 'ORIGIN_DEN', 'OP_CARRIER_UA', 'ORIGIN_LAX', 'DISTANCE', 'WHEELS_OFF', 'ORIGIN_SFO', 'liquid_precip_rate_arr', 'ceiling_height_arr', 'OP_CARRIER_WN', 'DEST_ORD', 'OP_CARRIER_DL', 'OP_CARRIER_AA', 'dew_point_c_arr']"
 :GradientBoostingRegressor: __select_from_model,6.568642778513219,6.59203217078164,0.0,0.0,8.529813426440972,8.627265033142024,3.4727455789005193,3.5288872562380864,0.9331007231689834,0.9290077430086896,0.9640338196577682,0.9593377379456454,"['TAXI_OUT', 'DEP_DELAY']"
